,ACIER,COMBAT,DRAGON,EAU,ELECTRIK,FEE,FEU,GLACE,INSECTE,NORMALE,PLANTE,POISON,PSY,ROCHE,SOL,SPECTRE,TENEBRES,VOL
ACIER,0.5,2,0.5,1,1,0.5,2,0.5,0.5,0.5,0.5,0,0.5,0.5,2,1,1,0.5
COMBAT,1,1,1,1,1,2,1,1,0.5,1,1,1,2,0.5,1,1,0.5,2
DRAGON,1,1,2,0.5,0.5,2,0.5,2,1,1,0.5,1,1,1,1,1,1,1
EAU,0.5,1,1,0.5,2,1,0.5,0.5,1,1,2,1,1,1,1,1,1,1
ELECTRIK,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,2,1,1,0.5
FEE,2,0.5,0,1,,1,1,1,0.5,1,1,2,1,1,1,1,0.5,1
FEU,0.5,1,1,2,1,0.5,0.5,0.5,0.5,1,0.5,1,1,2,2,1,1,1
GLACE,2,2,1,1,1,1,2,0.5,1,1,1,1,1,2,1,1,1,1
INSECTE,1,0.5,1,1,1,1,2,1,1,1,0.5,1,1,2,0.5,1,1,2
NORMALE,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
PLANTE,1,1,1,0.5,0.5,1,2,2,2,1,0.5,2,1,1,0.5,1,1,2
POISON,1,0.5,1,1,1,0.5,1,1,0.5,1,0.5,0.5,2,1,2,1,1,1
PSY,1,0.5,1,1,1,1,1,1,2,1,1,1,0.5,1,1,2,2,1
ROCHE,2,2,1,2,1,1,0.5,1,1,0.5,2,0.5,1,1,2,1,1,0.5
SOL,1,1,1,2,0,1,1,2,1,1,2,0.5,1,0.5,1,1,1,1
SPECTRE,1,0,1,1,1,1,1,1,0.5,0,1,0.5,1,1,1,2,2,1
TENEBRES,1,2,1,1,1,2,1,1,2,1,1,1,0,1,1,0.5,0.5,1
VOL,1,0.5,1,1,2,1,1,2,0.5,1,0.5,1,1,2,0,1,1,1
